Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
10, 16, static/dist2protect, 6000, 6100, 86, 15, -1.43887052277886, -1.44131363677408, 1, 
10, 16, static/dist2protect, 6100, 6200, 72, 17, -1.05836068801601, -1.05998024812291, 1, 
10, 16, static/dist2protect, 6200, 8700, 2091, 613, -0.76432101241169, -0.801704021208928, 1, 
10, 16, static/dist2protect, 8700, 8800, 100, 38, -0.37378907215846, -0.374661668016819, 0, 
10, 16, static/dist2protect, 8800, 14900, 5899, 1822, -0.689667471839104, -0.795841267513242, 1, 
10, 16, static/dist2protect, 14900, 15400, 503, 182, -0.451675282892975, -0.456990444448616, 1, 
10, 16, static/dist2protect, 15400, 15500, 123, 58, 0.00181489381102801, 0.0018202252566888, 0, 
10, 16, static/dist2protect, 15500, 15700, 210, 84, -0.289705954947919, -0.291139820227168, 1, 
10, 16, static/dist2protect, 15700, 15800, 99, 31, -0.669761347530715, -0.671259299801565, 1, 
10, 16, static/dist2protect, 15800, 16000, 195, 74, -0.375966299232326, -0.377681287797152, 1, 
10, 16, static/dist2protect, 16000, 17400, 1335, 592, -0.111430256673508, -0.115072901183719, 1, 
10, 16, static/dist2protect, 17400, 17500, 109, 62, 0.392745936495279, 0.393766487621912, 1, 
10, 16, static/dist2protect, 17500, 37900, 19583, 11278, 0.421755335479978, 0.797616695984764, 1, 
10, 16, static/dist2protect, 37900, 38000, 62, 47, 1.25785655376809, 1.2595594984474, 1, 
10, 16, static/dist2protect, 38000, 52400, 5353, 3438, 0.700931437488294, 0.8016621571096, 1, 
10, 16, static/dist2protect, 52400, 52500, 31, 12, -0.343773176218194, -0.344022200982561, 0, 
10, 16, static/dist2protect, 52500, 52600, 37, 9, -1.01922077967874, -1.02002713817923, 1, 
10, 16, static/dist2protect, 52600, 52700, 34, 6, -1.4246858877869, -1.42564394148147, 1, 
10, 16, static/dist2protect, 52700, 52800, 34, 9, -0.905892094371736, -0.906563229415254, 1, 
10, 16, static/dist2protect, 52800, 52900, 31, 9, -0.778058722861851, -0.778594652731312, 1, 
10, 16, static/dist2protect, 52900, 53000, 29, 16, 0.32339851793849, 0.323622138910566, 0, 
10, 16, static/dist2protect, 53000, 53900, 197, 97, 0.0852999456755371, 0.0857027206626006, 0, 
10, 16, static/dist2protect, 53900, 54100, 38, 17, -0.0955499405069612, -0.0956361729931592, 0, 
10, 16, static/dist2protect, 54100, 54300, 50, 17, -0.547535064250019, -0.548162202766984, 0, 
10, 16, static/dist2protect, 54300, 54400, 33, 6, -1.38831824361603, -1.3892312207932, 1, 
10, 16, static/dist2protect, 54400, 54500, 23, 7, -0.710919420024222, -0.711286127060701, 0, 
10, 16, static/dist2protect, 54500, 54600, 31, 13, -0.209663247274382, -0.209816635948999, 0, 
10, 16, static/dist2protect, 54600, 54700, 29, 10, -0.526094733012149, -0.526444905806744, 0, 
10, 16, static/dist2protect, 54700, 54800, 26, 10, -0.35424447608549, -0.354459480257022, 0, 
10, 16, static/dist2protect, 54800, 55200, 91, 40, -0.127187025450144, -0.127461839118657, 0, 
10, 16, static/dist2protect, 55200, 55500, 75, 29, -0.345586413342375, -0.346192607012514, 0, 
10, 16, static/dist2protect, 55500, 56200, 110, 47, -0.177227971521228, -0.177689822708306, 0, 
10, 16, static/dist2protect, 56200, 56300, 18, 12, 0.808906333720191, 0.809242907747306, 0, 
10, 16, static/dist2protect, 56300, 56400, 21, 11, 0.211069332964571, 0.211175183976088, 0, 
10, 16, static/dist2protect, 56400, 56500, 20, 12, 0.52122426126841, 0.521470765491366, 0, 
10, 16, static/dist2protect, 56500, 56600, 16, 5, -0.672698207204025, -0.672940796254761, 0, 
10, 16, static/dist2protect, 56600, 56700, 18, 12, 0.808906333720191, 0.809242907747306, 0, 
10, 16, static/dist2protect, 56700, 57900, 191, 112, 0.464810171988319, 0.46692442137409, 1, 
10, 16, static/dist2protect, 57900, 58000, 27, 14, 0.189867125313968, 0.189989577789827, 0, 
10, 16, static/dist2protect, 58000, 58600, 74, 43, 0.442972064368662, 0.443751286493538, 0, 
10, 16, static/dist2protect, 58600, 58800, 24, 11, -0.0512949315029205, -0.0513242125832285, 0, 
10, 16, static/dist2protect, 58800, 58900, 9, 3, -0.5773880273997, -0.57750653896181, 0, 
10, 16, static/dist2protect, 58900, 59100, 10, 2, -1.27053520795964, -1.27079434160962, 0, 
10, 16, static/dist2protect, 59100, 59200, 9, 1, -1.96368238851959, -1.96399207189788, 0, 
10, 16, static/dist2protect, 59200, 59300, 13, 4, -0.695171063056083, -0.695374127527456, 0, 
10, 16, static/dist2protect, 59300, 59400, 17, 1, -2.65682956907954, -2.65749961282208, 1, 
10, 16, static/dist2protect, 59400, 59500, 14, 4, -0.800531578713909, -0.800779683158266, 0, 
10, 16, static/dist2protect, 59500, 59800, 50, 18, -0.459604991743316, -0.460136452935333, 0, 
10, 16, static/dist2protect, 59800, 59900, 6, 3, 0.115759153160246, 0.115775731095132, 0, 
10, 16, static/dist2protect, 59900, 60000, 1, 1, 0, 0, 0, 
10, 16, static/dist2protect, 60000, 60100, 4, 3, 1.21437144182836, 1.21447806929054, 0, 
10, 16, static/dist2protect, 60100, 60300, 8, 4, 0.115759153160246, 0.115781258129828, 0, 
10, 16, static/dist2protect, 60300, 60400, 9, 2, -1.13700381533512, -1.13721791306895, 0, 
10, 16, static/dist2protect, 60400, 60500, 13, 5, -0.35424447608549, -0.354351945217093, 0, 
10, 16, static/dist2protect, 60500, 60700, 22, 5, -1.10801627846187, -1.10852916213539, 1, 
10, 16, static/dist2protect, 60700, 60800, 13, 1, -2.36914749662775, -2.36963734395572, 1, 
10, 16, static/dist2protect, 60800, 60900, 5, 3, 0.52122426126841, 0.521285864980562, 0, 
10, 16, static/dist2protect, 60900, 61000, 7, 6, 1.9075186223883, 1.90777692203663, 0, 
10, 16, static/dist2protect, 61000, 61100, 12, 5, -0.220713083460967, -0.22077551667642, 0, 
10, 16, static/dist2protect, 61100, 61200, 7, 4, 0.403441225612027, 0.403508358386286, 0, 
10, 16, static/dist2protect, 61200, 61300, 4, 0, 0, 0, 0, 
10, 16, static/dist2protect, 61300, 61700, 7, 3, -0.171922919291535, -0.171951369161326, 0, 
10, 16, static/dist2protect, 61700, 61800, 1, 1, 0, 0, 0, 
10, 16, static/dist2protect, 61800, 62500, 7, 6, 1.9075186223883, 1.90777692203663, 0, 
10, 16, static/dist2road, 0, 100, 1094, 332, -0.715052433609912, -0.733036833937671, 1, 
10, 16, static/dist2road, 100, 300, 4188, 1560, -0.405778126200673, -0.449563779735829, 1, 
10, 16, static/dist2road, 300, 600, 5107, 2177, -0.18129548761632, -0.206179172778684, 1, 
10, 16, static/dist2road, 600, 900, 4281, 2060, 0.0405075910494449, 0.0451109568255619, 0, 
10, 16, static/dist2road, 900, 6900, 27326, 13655, 0.114588107136059, 0.330675446436229, 1, 
10, 16, static/elevation, 0, 100, 17235, 10844, 0.64448033412852, 1.09952376324978, 1, 
10, 16, static/elevation, 100, 200, 19202, 8274, -0.162451081628969, -0.298040664383256, 1, 
10, 16, static/elevation, 200, 300, 3673, 560, -1.59964623355217, -1.72192890748556, 1, 
10, 16, static/elevation, 300, 500, 1205, 100, -2.28667127480352, -2.33263181194901, 1, 
10, 16, static/elevation, 500, 600, 225, 1, -5.29588689869479, -5.30597218490258, 1, 
10, 16, static/elevation, 600, 2100, 456, 5, -4.38627027390833, -4.40653081905369, 1, 
10, 16, static/population, 0, 100, 38086, 17824, -0.0124421937263664, -0.133316447553383, 1, 
10, 16, static/population, 100, 1400, 3910, 1960, 0.120874253827016, 0.133316447553383, 1, 
10, 17, distance/distance_to_1, 0, 200, 6890, 1911, -0.39533814367724, -0.485495942855715, 1, 
10, 17, distance/distance_to_1, 200, 400, 8778, 2830, -0.180514058218093, -0.239161440201209, 1, 
10, 17, distance/distance_to_1, 400, 500, 2753, 1007, 0.0119124150436843, 0.0129352898863903, 0, 
10, 17, distance/distance_to_1, 500, 2000, 14877, 6096, 0.197306780731156, 0.351160174441839, 1, 
10, 17, distance/distance_to_1, 2000, 2100, 189, 105, 0.785407810038879, 0.789947986341272, 1, 
10, 17, distance/distance_to_1, 2100, 5800, 1384, 710, 0.614299117847724, 0.641206083162126, 1, 
10, 17, static/PlanningUnit, 0, 100, 34871, 12659, 0, 0, 0, 
