name_common,name_sp,class,name_parameter,value,unit,
cashew,Anacardium occidentale,S3,soil_peat_depth,100-200,cm,
cashew,Anacardium occidentale,N,soil_peat_depth,>200,cm,
cashew,Anacardium occidentale,S1,soil_peat_maturity,saprik,unitless,
cashew,Anacardium occidentale,S2,soil_peat_maturity,saprik,unitless,
cashew,Anacardium occidentale,S2,soil_peat_maturity,hemik,unitless,
cashew,Anacardium occidentale,S3,soil_peat_maturity,hemik,unitless,
cashew,Anacardium occidentale,N,soil_peat_maturity,fibrik,unitless,
cashew,Anacardium occidentale,S1,soil_sulfidic_depth,>125,cm,
cashew,Anacardium occidentale,S2,soil_sulfidic_depth,100-125,cm,
cashew,Anacardium occidentale,S3,soil_sulfidic_depth,60-100,cm,
cashew,Anacardium occidentale,N,soil_sulfidic_depth,60<,cm,
cashew,Anacardium occidentale,S1,soil_slope,8<,%,
cashew,Anacardium occidentale,S2,soil_slope,8-15,%,
cashew,Anacardium occidentale,S3,soil_slope,15-40,%,
cashew,Anacardium occidentale,N,soil_slope,>40,%,
cashew,Anacardium occidentale,S1,soil_erosion_risk,0.15<,unitless,
cashew,Anacardium occidentale,S2,soil_erosion_risk,0.15-0.9,unitless,
cashew,Anacardium occidentale,S2,soil_erosion_risk,0.9-1.8,unitless,
cashew,Anacardium occidentale,S3,soil_erosion_risk,1.8-4.8,unitless,
cashew,Anacardium occidentale,N,soil_erosion_risk,>4.8,unitless,
cashew,Anacardium occidentale,N,soil_flood_height,>25,cm,
cashew,Anacardium occidentale,N,soil_flood_length,7<,hari,
cashew,Anacardium occidentale,S1,soil_surface_rocks,5<,%,
cashew,Anacardium occidentale,S2,soil_surface_rocks,5-15,%,
cashew,Anacardium occidentale,S3,soil_surface_rocks,15-40,%,
cashew,Anacardium occidentale,N,soil_surface_rocks,>40,%,
cashew,Anacardium occidentale,S1,soil_outcrop,5<,%,
cashew,Anacardium occidentale,S2,soil_outcrop,5-15,%,
cashew,Anacardium occidentale,S3,soil_outcrop,15-25,%,
cashew,Anacardium occidentale,N,soil_outcrop,>25,%,
cashew,Anacardium occidentale,S1,soil_esp,15<,%,
cashew,Anacardium occidentale,N,soil_esp,>15,%,
